Time Box WAE YPH GZS RDG DRE CHI DIA GRN CAL ROT PB BB DL DR DC
3.000000e+02 1 6.674379e+03 2.935598e+02 6.768508e+03 1.037281e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.205007e+04 2.408937e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.000000e+02 2 6.674379e+03 2.935598e+02 6.768508e+03 1.037281e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.205007e+04 2.408937e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.000000e+02 3 6.674379e+03 2.935598e+02 6.768508e+03 1.037281e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.205007e+04 2.408937e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.000000e+02 4 6.674379e+03 2.935598e+02 6.768508e+03 1.037281e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.205007e+04 2.408937e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.000000e+02 5 6.674379e+03 2.935598e+02 6.768508e+03 1.037281e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.205007e+04 2.408937e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.000000e+02 6 6.674379e+03 2.935598e+02 6.768508e+03 1.037281e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.205007e+04 2.408937e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.000000e+02 7 6.674379e+03 2.935598e+02 6.768508e+03 1.037281e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.205007e+04 2.408937e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.000000e+02 8 6.674379e+03 2.935598e+02 6.768508e+03 1.037281e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.205007e+04 2.408937e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.000000e+02 9 6.674379e+03 2.935598e+02 6.768508e+03 1.037281e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.205007e+04 2.408937e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.000000e+02 10 6.674379e+03 2.935598e+02 6.768508e+03 1.037281e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.205007e+04 2.408937e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.050000e+02 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.050000e+02 1 6.862079e+03 2.886196e+02 6.976055e+03 1.004687e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.134200e+04 2.343701e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.050000e+02 2 6.862079e+03 2.886196e+02 6.976055e+03 1.004687e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.134200e+04 2.343701e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.050000e+02 3 6.862079e+03 2.886196e+02 6.976055e+03 1.004687e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.134200e+04 2.343701e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.050000e+02 4 6.862079e+03 2.886196e+02 6.976055e+03 1.004687e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.134200e+04 2.343701e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.050000e+02 5 6.862079e+03 2.886196e+02 6.976055e+03 1.004687e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.134200e+04 2.343701e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.050000e+02 6 6.862079e+03 2.886196e+02 6.976055e+03 1.004687e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.134200e+04 2.343701e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.050000e+02 7 6.862079e+03 2.886196e+02 6.976055e+03 1.004687e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.134200e+04 2.343701e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.050000e+02 8 6.862079e+03 2.886196e+02 6.976055e+03 1.004687e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.134200e+04 2.343701e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.050000e+02 9 6.862079e+03 2.886196e+02 6.976055e+03 1.004687e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.134200e+04 2.343701e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.050000e+02 10 6.862079e+03 2.886196e+02 6.976055e+03 1.004687e+01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.134200e+04 2.343701e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.100000e+02 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.100000e+02 1 7.054737e+03 2.840588e+02 7.201188e+03 9.716612e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.059504e+04 2.273811e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.100000e+02 2 7.054737e+03 2.840588e+02 7.201188e+03 9.716612e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.059504e+04 2.273811e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.100000e+02 3 7.054737e+03 2.840588e+02 7.201188e+03 9.716612e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.059504e+04 2.273811e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.100000e+02 4 7.054737e+03 2.840588e+02 7.201188e+03 9.716612e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.059504e+04 2.273811e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.100000e+02 5 7.054737e+03 2.840588e+02 7.201188e+03 9.716612e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.059504e+04 2.273811e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.100000e+02 6 7.054737e+03 2.840588e+02 7.201188e+03 9.716612e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.059504e+04 2.273811e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.100000e+02 7 7.054737e+03 2.840588e+02 7.201188e+03 9.716612e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.059504e+04 2.273811e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.100000e+02 8 7.054737e+03 2.840588e+02 7.201188e+03 9.716612e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.059504e+04 2.273811e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.100000e+02 9 7.054737e+03 2.840588e+02 7.201188e+03 9.716612e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.059504e+04 2.273811e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.100000e+02 10 7.054737e+03 2.840588e+02 7.201188e+03 9.716612e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 2.059504e+04 2.273811e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.150000e+02 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.150000e+02 1 7.252376e+03 2.799057e+02 7.445387e+03 9.382008e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.980669e+04 2.198915e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.150000e+02 2 7.252376e+03 2.799057e+02 7.445387e+03 9.382008e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.980669e+04 2.198915e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.150000e+02 3 7.252376e+03 2.799057e+02 7.445387e+03 9.382008e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.980669e+04 2.198915e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.150000e+02 4 7.252376e+03 2.799057e+02 7.445387e+03 9.382008e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.980669e+04 2.198915e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.150000e+02 5 7.252376e+03 2.799057e+02 7.445387e+03 9.382008e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.980669e+04 2.198915e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.150000e+02 6 7.252376e+03 2.799057e+02 7.445387e+03 9.382008e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.980669e+04 2.198915e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.150000e+02 7 7.252376e+03 2.799057e+02 7.445387e+03 9.382008e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.980669e+04 2.198915e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.150000e+02 8 7.252376e+03 2.799057e+02 7.445387e+03 9.382008e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.980669e+04 2.198915e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.150000e+02 9 7.252376e+03 2.799057e+02 7.445387e+03 9.382008e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.980669e+04 2.198915e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.150000e+02 10 7.252376e+03 2.799057e+02 7.445387e+03 9.382008e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.980669e+04 2.198915e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.200000e+02 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.200000e+02 1 7.455149e+03 2.762191e+02 7.709779e+03 9.053536e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.897463e+04 2.118665e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
